Date,DateKey,Year,Month,MonthName,Quarter
1996-07-04,19960704,1996,7,July,3
1996-07-05,19960705,1996,7,July,3
1996-07-06,19960706,1996,7,July,3
1996-07-07,19960707,1996,7,July,3
1996-07-08,19960708,1996,7,July,3
1996-07-09,19960709,1996,7,July,3
1996-07-10,19960710,1996,7,July,3
1996-07-11,19960711,1996,7,July,3
1996-07-12,19960712,1996,7,July,3
1996-07-13,19960713,1996,7,July,3
1996-07-14,19960714,1996,7,July,3
1996-07-15,19960715,1996,7,July,3
1996-07-16,19960716,1996,7,July,3
1996-07-17,19960717,1996,7,July,3
1996-07-18,19960718,1996,7,July,3
1996-07-19,19960719,1996,7,July,3
1996-07-20,19960720,1996,7,July,3
1996-07-21,19960721,1996,7,July,3
1996-07-22,19960722,1996,7,July,3
1996-07-23,19960723,1996,7,July,3
1996-07-24,19960724,1996,7,July,3
1996-07-25,19960725,1996,7,July,3
1996-07-26,19960726,1996,7,July,3
1996-07-27,19960727,1996,7,July,3
1996-07-28,19960728,1996,7,July,3
1996-07-29,19960729,1996,7,July,3
1996-07-30,19960730,1996,7,July,3
1996-07-31,19960731,1996,7,July,3
1996-08-01,19960801,1996,8,August,3
1996-08-02,19960802,1996,8,August,3
1996-08-03,19960803,1996,8,August,3
1996-08-04,19960804,1996,8,August,3
1996-08-05,19960805,1996,8,August,3
1996-08-06,19960806,1996,8,August,3
1996-08-07,19960807,1996,8,August,3
1996-08-08,19960808,1996,8,August,3
1996-08-09,19960809,1996,8,August,3
1996-08-10,19960810,1996,8,August,3
1996-08-11,19960811,1996,8,August,3
1996-08-12,19960812,1996,8,August,3
1996-08-13,19960813,1996,8,August,3
1996-08-14,19960814,1996,8,August,3
1996-08-15,19960815,1996,8,August,3
1996-08-16,19960816,1996,8,August,3
1996-08-17,19960817,1996,8,August,3
1996-08-18,19960818,1996,8,August,3
1996-08-19,19960819,1996,8,August,3
1996-08-20,19960820,1996,8,August,3
1996-08-21,19960821,1996,8,August,3
1996-08-22,19960822,1996,8,August,3
1996-08-23,19960823,1996,8,August,3
1996-08-24,19960824,1996,8,August,3
1996-08-25,19960825,1996,8,August,3
1996-08-26,19960826,1996,8,August,3
1996-08-27,19960827,1996,8,August,3
1996-08-28,19960828,1996,8,August,3
1996-08-29,19960829,1996,8,August,3
1996-08-30,19960830,1996,8,August,3
1996-08-31,19960831,1996,8,August,3
1996-09-01,19960901,1996,9,September,3
1996-09-02,19960902,1996,9,September,3
1996-09-03,19960903,1996,9,September,3
1996-09-04,19960904,1996,9,September,3
1996-09-05,19960905,1996,9,September,3
1996-09-06,19960906,1996,9,September,3
1996-09-07,19960907,1996,9,September,3
1996-09-08,19960908,1996,9,September,3
1996-09-09,19960909,1996,9,September,3
1996-09-10,19960910,1996,9,September,3
1996-09-11,19960911,1996,9,September,3
1996-09-12,19960912,1996,9,September,3
1996-09-13,19960913,1996,9,September,3
1996-09-14,19960914,1996,9,September,3
1996-09-15,19960915,1996,9,September,3
1996-09-16,19960916,1996,9,September,3
1996-09-17,19960917,1996,9,September,3
1996-09-18,19960918,1996,9,September,3
1996-09-19,19960919,1996,9,September,3
1996-09-20,19960920,1996,9,September,3
1996-09-21,19960921,1996,9,September,3
1996-09-22,19960922,1996,9,September,3
1996-09-23,19960923,1996,9,September,3
1996-09-24,19960924,1996,9,September,3
1996-09-25,19960925,1996,9,September,3
1996-09-26,19960926,1996,9,September,3
1996-09-27,19960927,1996,9,September,3
1996-09-28,19960928,1996,9,September,3
1996-09-29,19960929,1996,9,September,3
1996-09-30,19960930,1996,9,September,3
1996-10-01,19961001,1996,10,October,4
1996-10-02,19961002,1996,10,October,4
1996-10-03,19961003,1996,10,October,4
1996-10-04,19961004,1996,10,October,4
1996-10-05,19961005,1996,10,October,4
1996-10-06,19961006,1996,10,October,4
1996-10-07,19961007,1996,10,October,4
1996-10-08,19961008,1996,10,October,4
1996-10-09,19961009,1996,10,October,4
1996-10-10,19961010,1996,10,October,4
1996-10-11,19961011,1996,10,October,4
1996-10-12,19961012,1996,10,October,4
1996-10-13,19961013,1996,10,October,4
1996-10-14,19961014,1996,10,October,4
1996-10-15,19961015,1996,10,October,4
1996-10-16,19961016,1996,10,October,4
1996-10-17,19961017,1996,10,October,4
1996-10-18,19961018,1996,10,October,4
1996-10-19,19961019,1996,10,October,4
1996-10-20,19961020,1996,10,October,4
1996-10-21,19961021,1996,10,October,4
1996-10-22,19961022,1996,10,October,4
1996-10-23,19961023,1996,10,October,4
1996-10-24,19961024,1996,10,October,4
1996-10-25,19961025,1996,10,October,4
1996-10-26,19961026,1996,10,October,4
1996-10-27,19961027,1996,10,October,4
1996-10-28,19961028,1996,10,October,4
1996-10-29,19961029,1996,10,October,4
1996-10-30,19961030,1996,10,October,4
1996-10-31,19961031,1996,10,October,4
1996-11-01,19961101,1996,11,November,4
1996-11-02,19961102,1996,11,November,4
1996-11-03,19961103,1996,11,November,4
1996-11-04,19961104,1996,11,November,4
1996-11-05,19961105,1996,11,November,4
1996-11-06,19961106,1996,11,November,4
1996-11-07,19961107,1996,11,November,4
1996-11-08,19961108,1996,11,November,4
1996-11-09,19961109,1996,11,November,4
1996-11-10,19961110,1996,11,November,4
1996-11-11,19961111,1996,11,November,4
1996-11-12,19961112,1996,11,November,4
1996-11-13,19961113,1996,11,November,4
1996-11-14,19961114,1996,11,November,4
1996-11-15,19961115,1996,11,November,4
1996-11-16,19961116,1996,11,November,4
1996-11-17,19961117,1996,11,November,4
1996-11-18,19961118,1996,11,November,4
1996-11-19,19961119,1996,11,November,4
1996-11-20,19961120,1996,11,November,4
1996-11-21,19961121,1996,11,November,4
1996-11-22,19961122,1996,11,November,4
1996-11-23,19961123,1996,11,November,4
1996-11-24,19961124,1996,11,November,4
1996-11-25,19961125,1996,11,November,4
1996-11-26,19961126,1996,11,November,4
1996-11-27,19961127,1996,11,November,4
1996-11-28,19961128,1996,11,November,4
1996-11-29,19961129,1996,11,November,4
1996-11-30,19961130,1996,11,November,4
1996-12-01,19961201,1996,12,December,4
1996-12-02,19961202,1996,12,December,4
1996-12-03,19961203,1996,12,December,4
1996-12-04,19961204,1996,12,December,4
1996-12-05,19961205,1996,12,December,4
1996-12-06,19961206,1996,12,December,4
1996-12-07,19961207,1996,12,December,4
1996-12-08,19961208,1996,12,December,4
1996-12-09,19961209,1996,12,December,4
1996-12-10,19961210,1996,12,December,4
1996-12-11,19961211,1996,12,December,4
1996-12-12,19961212,1996,12,December,4
1996-12-13,19961213,1996,12,December,4
1996-12-14,19961214,1996,12,December,4
1996-12-15,19961215,1996,12,December,4
1996-12-16,19961216,1996,12,December,4
1996-12-17,19961217,1996,12,December,4
1996-12-18,19961218,1996,12,December,4
1996-12-19,19961219,1996,12,December,4
1996-12-20,19961220,1996,12,December,4
1996-12-21,19961221,1996,12,December,4
1996-12-22,19961222,1996,12,December,4
1996-12-23,19961223,1996,12,December,4
1996-12-24,19961224,1996,12,December,4
1996-12-25,19961225,1996,12,December,4
1996-12-26,19961226,1996,12,December,4
1996-12-27,19961227,1996,12,December,4
1996-12-28,19961228,1996,12,December,4
1996-12-29,19961229,1996,12,December,4
1996-12-30,19961230,1996,12,December,4
1996-12-31,19961231,1996,12,December,4
1997-01-01,19970101,1997,1,January,1
1997-01-02,19970102,1997,1,January,1
1997-01-03,19970103,1997,1,January,1
1997-01-04,19970104,1997,1,January,1
1997-01-05,19970105,1997,1,January,1
1997-01-06,19970106,1997,1,January,1
1997-01-07,19970107,1997,1,January,1
1997-01-08,19970108,1997,1,January,1
1997-01-09,19970109,1997,1,January,1
1997-01-10,19970110,1997,1,January,1
1997-01-11,19970111,1997,1,January,1
1997-01-12,19970112,1997,1,January,1
1997-01-13,19970113,1997,1,January,1
1997-01-14,19970114,1997,1,January,1
1997-01-15,19970115,1997,1,January,1
1997-01-16,19970116,1997,1,January,1
1997-01-17,19970117,1997,1,January,1
1997-01-18,19970118,1997,1,January,1
1997-01-19,19970119,1997,1,January,1
1997-01-20,19970120,1997,1,January,1
1997-01-21,19970121,1997,1,January,1
1997-01-22,19970122,1997,1,January,1
1997-01-23,19970123,1997,1,January,1
1997-01-24,19970124,1997,1,January,1
1997-01-25,19970125,1997,1,January,1
1997-01-26,19970126,1997,1,January,1
1997-01-27,19970127,1997,1,January,1
1997-01-28,19970128,1997,1,January,1
1997-01-29,19970129,1997,1,January,1
